id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Beginner1,Fragment,Verb 吸う,吸いませんでした,not inhaled(p),吸いませんでした,sui masen deshita,not inhaled(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 使う,使う,use,使う,tsukau,use
,English,Japanese,Beginner1,Fragment,Verb 使う,使わない,not use,使わない,tsukawa nai,not use
,English,Japanese,Beginner1,Fragment,Verb 使う,使った,used,使った,tsuka tta,used
,English,Japanese,Beginner1,Fragment,Verb 使う,使わなかった,not used,使わなかった,tukawa nakatta,not used
,English,Japanese,Beginner1,Fragment,Verb 使う,使います,use(p),使います,tsukai masu,use(p)
,English,Japanese,Beginner1,Fragment,Verb 使う,使いません,not use(p),使いません,tsukai masen,not use(p)
,English,Japanese,Beginner1,Fragment,Verb 使う,使わなかった,used(p),使わなかった,tsukawa nakatta,used(p)
,English,Japanese,Beginner1,Fragment,Verb 使う,使いませんでした,not used(p),使いませんでした,tsukai masen deshita,not used(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊ぶ,play,遊ぶ,asobu,play
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊ばない,not play,遊ばない,asoba nai,not play
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊んだ,played,遊んだ,ason da,played
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊ばなかった,not played,遊ばなかった,asoba nakatta,not played
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊びます,play(p),遊びます,asobi masu,play(p)
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊びません,not play(p),遊びません,asobi masen,not play(p)
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊びました,played(p),遊びました,asobi mashita,played(p)
,English,Japanese,Beginner1,Fragment,Verb 遊ぶ,遊びませんでした,not played(p),遊びませんでした,asobi masen deshita,not played(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 会う,会う,meet,会う,au,meet
,English,Japanese,Beginner1,Fragment,Verb 会う,会わない,not meet,会わない,awa nai,not meet
,English,Japanese,Beginner1,Fragment,Verb 会う,会った,met,会った,a tta,met
,English,Japanese,Beginner1,Fragment,Verb 会う,会わなかった,not met,会わなかった,awa nakatta,not met
,English,Japanese,Beginner1,Fragment,Verb 会う,会います,meet(p),会います,ai masu,meet(p)
